,pred,gt
304,JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH MAERZ,JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH EINS DREISSIG MAERZ
305,REGION BIS FREITAG HAUPTSAECHLICH REGION FREUNDLICH SONNE TEMPERATUR STEIGEN,HOCH REGION BIS FREITAG MEISTENS WETTER FREUNDLICH SONNE TEMPERATUR STEIGEN
306,MOEGLICH REGEN ODER REGEN ODER GEWITTER,MOEGLICH REGEN ODER REGEN ODER GEWITTER
307,GUT ABEND LIEB ZUSCHAUER PLUS NULL ZWANZIG PLUS __PU__ WETTER WARM __PU__,GUT ABEND LIEB ZUSCHAUER IN-KOMMEND FRUEHLING WETTER MORGEN WARM WOHER WARM
308,LIEB ZUSCHAUER poss-EUCH GUT ABEND,LIEB ZUSCHAUER EUCH GUT ABEND
309,HEUTE NACHT TEMPERATUR MINUS FUENF PLUS DREI EINS,HEUTE NACHT TEMPERATUR MINUS FUENF NORD BIS PLUS DREI WEST FLUSS
310,DEUTSCH LAND SECHS BIS HOCH LITER BERG ENORM WARM,DEUTSCH LAND ZWISCHEN ZWANZIG BIS SECHZIG LITER EIN QUADRATMETER ENORM VIEL
311,NACHT NORD MINUS DREI IX,NACHT SECHS GRAD SEE MINUS DREI FLUSS
312,BERG AUCH SCHNEE DANN WIND WEHEN WIND WEHEN REGEN KOENNEN STURM,BERG DANN SCHNEE SCHNEIEN DANN STURM WEHEN OST FRISCH WIND BERG KOENNEN STURM
313,JETZT WETTER MORGEN SONNTAG ERSTE JANUAR WIE-AUSSEHEN,JETZT WETTER MORGEN SONNTAG ZWOELF DEZEMBER WIE-AUSSEHEN ZEIGEN-BILDSCHIRM
314,BESONDERS OST REGION,BESONDERS OST SUED
315,MORGEN MEISTENS DREI BIS SIEBEN GRAD ABER BAYERN REGION FROST MITTE REGION AUCH,MORGEN MEISTENS ZWEI BIS SECHS GRAD ABER BAYERN REGION BISSCHEN KALT MITTE REGION AUCH
316,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG ACHTE,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG NEUNTE FEBRUAR
317,NACHT NORD loc-REGION KLAR MORGEN KALT __PU__,HEUTE NACHT NORD REGION KLAR HIMMEL ENORM KALT
318,OST loc-REGION SONNE loc-WEST WECHSELHAFT SONNE WOLKE WEST loc-NORDWEST MOEGLICH REGEN GEWITTER,DIENSTAG OST REGION SONNE REGION ABWECHSELN SONNE WOLKE WEST NORDWEST MOEGLICH REGEN GEWITTER STARK
319,NACHT VERSCHWINDEN KOENNEN SONNE WOLKE WECHSELHAFT KALT LUFT KOMMEN,ABEND VERSCHWINDEN SONNE ABWECHSELN WOLKE ABWECHSELN WIND SCHWACH WEHEN
320,WEHEN FRISCH SCHWACH MAESSIG BERG FRISCH WEHEN,WEHEN WIND SCHWACH MAESSIG BERG FRISCH WIND
321,GUT ABEND LIEB ZUSCHAUER HEUTE MOEGLICH DABEI BISHER NUR SEHEN loc-REGION ABEND SCHNEIEN,GUT ABEND LIEB ZUSCHAUER SO VIEL SCHNEE ANFANG DEZEMBER TJA SELTEN BISHER WENN UEBER SICHT NULL FAST REGION DEUTSCHLAND REGION SCHNEE HABEN
322,WIND SCHWACH MAESSIG WEHEN KOMMEN __PU__ HEUTE NACHT MOEGLICH NULL __PU__,WIND SCHWACH MAESSIG WEHEN SUEDOST HEUTE NACHT MOEGLICH NULL GRAD
323,JETZT WETTER MORGEN DIENSTAG SECHSTE APRIL,JETZT WETTER MORGEN DIENSTAG SECHSTE APRIL
324,NACHT MORGEN AUCH HEISS KOMMEN,DEUTSCH LAND SUED MORGEN WARM KOMMEN
325,WIND SCHWACH WEHEN ZEIGEN,WIND SCHWACH WEHEN ZEIGEN-BILDSCHIRM
326,WIE-AUSSEHEN WETTER MORGEN MITTWOCH ZWANZIG OKTOBER,JETZT WIE-AUSSEHEN WETTER MORGEN MITTWOCH EINS ZWANZIG OKTOBER
327,DREIZEHN loc-REGION SAUER REGION NUR SIEBEN GRAD REGION ZWANZIG BIS ACHT GRAD,FUENFZEHN GRAD REGION SAUER LAND NUR SECHS GRAD REGION SIEBEN ZWANZIG BIS ACHT ZWANZIG GRAD
328,NACHT ZWOELF DREIZEHN GRAD BERG REGION NULL GRAD,NACHT SYLT DREIZEHN GRAD MITTE BERG TAL NULL GRAD
329,SAMSTAG NORD SCHAUER REGEN loc-REGION FREUNDLICH SUED IM-VERLAUF REGEN SCHAUER,SAMSTAG NORD SCHAUER REGION FREUNDLICH SUED IM-VERLAUF REGEN
330,WIND WEHEN cl-KOMMEN AUCH HEUTE ABEND MACHEN TSCHUESS,WIND KOMMEN DANN SCHNEE WITTERUNG JETZT SCHOEN ABEND TSCHUESS
331,NACHT TEIL GRAD REGION MINUS FUENF BERG,NACHT FUENF GRAD SEE MINUS VIER BERG IX
332,SONST REGION MEHR STARK WOLKE BESONDERS KUESTE MEHR REGEN SCHNEE,REST REGION MEHR MEISTENS WOLKE BESONDERS KUESTE IX MEHR REGEN
333,MITTWOCH MINUS HABEN2 SONNE NICHT-HABEN SECHSZEHN BIS FUENF GRAD,MITTWOCH ALLE GUT SONNE SCHOEN SECHSZEHN BIS FUENF ZWANZIG GRAD
334,NACHT FLUSS WEST MOEGLICH REGEN WIND WEHEN MAESSIG,ABEND FLUSS WEST REGION MOEGLICH REGEN WIND WEHEN MAESSIG WEHEN
335,HAUPTSAECHLICH DURCHGEHEND REGEN ABEND DEUTSCHLAND SCHNEE AUCH __EMOTION__ MEHR BLEIBEN,LEIDER DURCHGEHEND DAUER REGEN NACHT SUED DEUTSCHLAND REGEN AUCH STRASSE DANN GLATTEIS
336,DESWEGEN NAECHSTE WOCHE __LEFTHAND__ STEIGEN IM-VERLAUF NACHT NORD WOLKE REGEN,DESWEGEN NAECHSTE WOCHE KOMMEN IM-VERLAUF NACHT NORD WOLKE BISSCHEN REGEN
337,FLUSS BIS GEWITTER ABER LUFT ABER MILD TROCKEN NORD,NACHT VIELLEICHT P BIS L SITZ ZONE ABER LUFT DOCH FEUCHT NORDWEST
338,WEITER MEHR KALT,WOCHENENDE MEHR KUEHL
339,FREITAG SIEBENHUNDERT METER SCHNEE SCHNEIEN SCHOEN ABEND poss-EUCH GUT,ABER UEBER FUENFHUNDERT SECHSHUNDERT METER SCHNEE SCHNEIEN SCHOEN ABEND MACHEN EUCH GUT
340,WETTER OST DREISSIG __LEFTHAND__ MILD BIS GRAD,ANDERE TEMPERATUR GLEICH OST VIER GRAD MILD ACHT BIS NEUN GRAD
341,IX STARK WEHEN WIND REGEN ABEND KOENNEN,KUESTE STARK WEHEN STURM SCHNEE WEHEN KOENNEN
342,AUCH SCHNEE DABEI WETTER ABEND KALT ZEIGEN FROST MINUS PLUS MINUS DREI loc-WEST FROST,AUCH SCHNEE DABEI SCHNEE WARUM HEUTE NACHT KALT ZEIGEN-BILDSCHIRM LEICHT FROST MINUS EINS BIS MINUS VIER NUR WEST FROST KEIN
343,MORGEN TEIL STARK WOLKE TEIL SONNE OST MEISTENS SONNE DABEI,MORGEN TEIL UEBERWIEGEND WOLKE TEIL SONNE OST UEBERWIEGEND MEHR SONNE DABEI
344,SUEDOSTRAUM FRISCH TROCKEN MORGEN MEISTENS WOLKE VERSCHWINDEN IX DANN REGION MEISTENS REGEN SCHAUER,SUEDOST MEISTENS TROCKEN MORGEN HAUPTSAECHLICH WOLKE VERSCHWINDEN IX SONST REGION HAUPTSAECHLICH REGEN
345,REGEN AUCH ABER KUEHL IX NORDWESTRAUM KUEHL DESWEGEN FROST,REGEN NICHTALP-AUCH ABER KUEHL HEUTE NORDWEST KUEHL LEICHT BODEN FROST
346,WIND MAESSIG SCHWACH UND GEWITTER STURM WEHEN,WIND MAESSIG SCHWACH REGION WENN GEWITTER WIND KOENNEN
347,MORGEN STEIGEN UEBER REGION KOMMEN,MORGEN NEUN GRAD DREIZEHN REGION GRAD GRUND FOEHN GAENSEFUSS
348,BIS MORGEN IX DEUTSCH REGION cl-KOMMEN HOCH REGEN GERADE cl-KOMMEN OST,BIS MORGEN MITTE DEUTSCH LAND KOMMEN TAG IX REGEN AUCH KOMMEN OST
349,loc-SUEDOST REGEN SACHSEN IX BISSCHEN SCHNEE KOENNEN KLAR TAG DAZU WEST FREUNDLICH SONNE DABEI,SUEDOST REGEN VIEL IX REGEN KOENNEN BESONDERS NORD TAG DANN WEST FREUNDLICH SONNE DABEI
350,MORGEN ZWOELF REGION WESTRAUM VIER ZWANZIG GRAD PLUS WIE SOMMER,MORGEN DREIZEHN REGION SUEDWEST IX VIER ZWANZIG GRAD PASSEN FAST WIE SOMMER
351,UEBER loc-SUEDWEST HOCH KALT ABER AUCH SCHNEE loc-REGION BLEIBEN IM-VERLAUF __PU__,AUCH OBER FLUSS HOCH FLUSS FROST AUCH SCHNEE KOMMEN BLEIBEN IM-VERLAUF
352,MORGEN WETTER WIE-AUSSEHEN MITTWOCH NEUNTE NOVEMBER,MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZEHNTE NOVEMBER
353,NORDWESTRAUM REGEN ODER SCHNEE VORSICHT GLATT KOENNEN,NORDWEST REGEN ODER SCHNEE VORSICHT GLATT KOENNEN
354,BESONDERS NORD DANN KOMMEN OST DANN VERAENDERN ABEND,BESONDERS NORDWEST NACHMITTAG KOMMEN FLUSS REGION DANN WAHRSCHEINLICH ABEND
355,HALLO GUT ABEND __EMOTION__ WIND SCHON HEUTE MITTE BERG SCHON DABEI,HALLO GUT ABEND WINTER SCHON HABEN MITTE BERG SCHON WEISS BODEN
356,FREITAG BISSCHEN VERSCHWINDEN WENIG NORD REGEN BISSCHEN TEMPERATUR GRAD,FREITAG BISSCHEN VERSCHWINDEN BISSCHEN VERSCHWINDEN NORD BISSCHEN REGEN BISSCHEN STELLENWEISE VIERZEHN GRAD UNGEFAEHR
357,REGEN NEBEL AUCH WEITER UND BERG ALPEN IX WOLKE,NORDOST BISSCHEN REGEN NEBEL AUCH NAEHE FLUSS UND ALPEN AUCH MOEGLICH NEBEL
358,MORGEN ZEHN GRAD BISSCHEN NEBEL DREIZEHN GRAD ZWOELF,TAG ZEHN GRAD BISSCHEN BEWOELKT ACHTZEHN GRAD FLUSS IX
359,ZWANZIG SONNTAG VIEL WOLKE REGEN,EINS ZWANZIG FLUSS SONNTAG VIEL WOLKE REGEN
360,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG FUENF ZWANZIG,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG VIER ZWANZIG NOVEMBER
361,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG FUENFTE OKTOBER,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG VIERTE OKTOBER
362,ABER STARK OST __EMOTION__ KOMMEN REGEN UND MEHR __PU__,ABER JETZT OST KOMMEN SCHWUEL LUFT AUFZIEHEN NEU KOMMEN REGEN ABER MEHR ANGENEHM NASE LUFT
363,HEUTE NACHT BISSCHEN SCHNEE NORD loc-REGION KOMMEN AUCH,HEUTE NACHT MEHR SCHNEE NORD SUEDOST ABER KALT
364,WETTER WIE-AUSSEHEN __PU__ MORGEN SONNTAG SECHS SEPTEMBER,WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHS SEPTEMBER
365,NACHT NULL KUESTE ZEHN FLUSS BIS SECHS GRAD loc-NORD SIEBEN GRAD,NACHT NULL BIS ZEHN FLUSS BIS SIEBEN GRAD NORD SIEBEN GRAD
366,DANN WOCHENENDE KUEHL MITTWOCH SCHNEE REGEN SCHNEE REGEN,DANN WOCHENENDE ENORM WINTER FREITAG SCHNEE REGION
367,REGION HEUTE ABER NORDWESTRAUM __EMOTION__ cl-KOMMEN SONNE STARK,DEUTSCH WETTER DIENST WARNUNG NORDWEST IX AUCH KOMMEN SONNE MEISTENS
368,REGEN SUEDRAUM MOEGLICH SONNE,REGEN FLUSS SUED MOEGLICH SONNE
369,LIEB ZUSCHAUER GUT ABEND,LIEB ZUSCHAUER GUT ABEND
370,DONNERSTAG KOMMEN WOLKE,DONNERSTAG NEBEL AUFLOESEN WOLKE BEWOELKT HABEN
371,REGION MORGEN NORD REGEN SCHAUER loc-NORD GEWITTER,BERG MORGEN NOCH REGEN IX SCHAUER NORD GEWITTER
372,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG EINS ZWANZIG FEBRUAR,WETTER WIE-AUSSEHEN MORGEN MONTAG EINS ZWANZIG FEBRUAR
373,NORDWESTRAUM DANN TEIL IX REGEN,NORDWEST AUCH TEIL IX REGEN
374,REGION TIEF cl-KOMMEN NAECHSTE SONNTAG SCHNEE REGEN KOENNEN GEFRIEREN,REGION LUFT TIEF KOMMEN DANN SONNTAG SCHNEE REGEN GEFRIEREN
375,__PU__ MITTWOCH SONNE WOCHENENDE SCHOEN SEHEN WEST REGEN DANN MILD,MITTWOCH SONNE NICHT NUR WEST SCHNEE REGEN MISCHUNG DANN BEISEITE
376,WOCHENENDE ZWANZIG WARM ENORM SINKEN,ICH ORIENTIEREN ZWEIFEL WARM KALT UNSICHER
377,REGION MILD TROCKEN HEUTE NACHT SCHNEE WECHSELHAFT AUCH BISSCHEN REGEN DABEI,REGION ANDERS MILD HINREICHEND HEUTE NACHT HINREICHEND SCHNEE VIELLEICHT BIS REGEN DABEI
378,SAMSTAG loc-SUEDOST REGEN SCHAUER GRUND WIND,SAMSTAG NORD SUEDOST REGEN ABER GLEICH ZEIT WIND
379,JETZT WETTER VORAUS SAGE MORGEN FREITAG VIER DREISSIG DEZEMBER,JETZT WETTER VORAUSSAGE MORGEN FREITAG VIER ZWANZIG DEZEMBER
380,DIENSTAG RUHIG TROCKEN __LEFTHAND__ WETTER,DIENSTAG RUHIG TROCKEN WETTER
381,NORDWESTRAUM VIEL WOLKE cl-KOMMEN ANFANG REGEN SCHAUER,NORD NORDWEST DANACH VERDICHTEN WOLKE VERDICHTEN ANFANG REGEN
382,ABER IN-KOMMEND SCHON REGEN SUED HOCH REGEN cl-KOMMEN,UND IN-KOMMEND LETZTE REGEN SUED VERSCHWINDEN IX NEU REGEN KOMMEN
383,BERG NACHT BISSCHEN REGEN BESONDERS NORDWESTRAUM NORD SEE NACHT IX REGION IX,NICHTALP-KEIN HABEN REGION HABEN NACHT MOEGLICH BISSCHEN REGEN BESONDERS NORDWEST REGEN NORD SEE IX AUCH NACHT IX EIFEL BERG AUCH BERG
384,loc-NORD BISSCHEN REGEN ABEND VERSCHWINDEN BISSCHEN BEWOELKT AUCH KLAR,NORDOST BISSCHEN SCHAUER ABEND AUFLOESEN EIN-PAAR HARMLOS NEBEL DANN KLAR
385,IN-KOMMEND SONNTAG loc-NORDOST SONNE __LEFTHAND__ WOLKE REGEN,NAECHSTE SONNTAG OST SONNE WOLKE STELLENWEISE REGEN
386,MORGEN MAL KOENNEN SONNE TEIL ALPEN MORGEN BISSCHEN REGEN loc-NORD SCHNEE,MORGEN MAL SONNE SPEZIELL ALPEN MAL BISSCHEN SCHNEE NORD MEHR STARK SCHNEE
387,JETZT WETTER MORGEN SIEBEN ZWANZIG JANUAR,UND JETZT WETTER MORGEN DIENSTAG SECHS ZWANZIG JANUAR
388,DAZU STURM,UND DAZU STURM NORD KUESTE STURM
389,DAZU WARM LUFT GEWITTER WARM WENIGER,DAZU WARM LUFT TATSAECHLICH WARM HEISS NAECHSTE-WOCHE KUEHL
390,SUED NUR REGION BERG,SUED BISSCHEN WOLKE ALPEN LETZTE REGEN
391,MONTAG MEHR SONNE WEST SCHAUER GEWITTER,MONTAG WEITER SONNE WEST SCHAUER GEWITTER
392,MONTAG AUCH WECHSELHAFT MEHR KUEHL,MONTAG AUCH WECHSELHAFT UND MEHR KUEHL
393,NACHT TEMPERATUR ZEHN MORGEN __PU__ BIS ZEHN ELF BIS ZEHN BIS GRAD,NACHT TEMPERATUR VIER BIS NEUN MORGEN DREI BIS NEUN HOCH BIS ZEHN BIS VIERZEHN
394,TAG EINS GRAD FLUSS SCHON ZWANZIG GRAD REGION,TAG EINS ZWANZIG GRAD SYLT IX UND NEUN ZWANZIG GRAD REGION UND REGION
395,IN-KOMMEND BLEIBEN LUFT DRUCK HOCH KOMMEN WEITER NEBEL HIMMEL SONNE DABEI,IN-KOMMEND BLEIBEN LUFT DRUCK HOCH KOMMEN BEDEUTEN NEBEL HIMMEL UND SONNE MISCHUNG
396,JETZT WETTER WIE AUSSEHEN MORGEN SONNTAG SIEBTE OKTOBER,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBTE OKTOBER
397,HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN MORGEN UEBERWIEGEND,HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN MORGEN HAUPTSAECHLICH
398,OST REGION NEBEL FREUNDLICH,OST WOLKE BEWOELKT FREUNDLICH
399,SUED __EMOTION__ HOCH RUHIG FREUNDLICH HERBST,SUED WAHRSCHEINLICH HOCH DRUCK RUHIG FREUNDLICH HERBST
400,TIEF cl-KOMMEN SUEDOSTRAUM HOCH LUFT ABEND REGION loc-REGION WOLKE LUFT KALT SONNE REGEN,TIEF SUED SUEDOST HOCH LUFT DRUCK NORDWEST BEWOELKT LUFT KALT LUFT KOMMEN
401,WENIG IN-KOMMEND IX UND WIND MILD MAESSIG HEUTE NACHT loc-REGION DREI GRAD,GEWITTER NAEHE WOANDERS IX DANN GEWITTER STURM MAESSIG HEUTE NACHT REGION ZWANZIG GRAD
402,TEMPERATUR GRAD IN-KOMMEND APRIL,TEMPERATUR IN-KOMMEND MEHR
403,AUCH REGEN FREITAG ABEND IX cl-KOMMEN REGEN MOEGLICH NORDRAUM STURM REGEN BISSCHEN MEHR WARM,ABER REGEN ERST FREITAG ABEND SUED KOMMEN REGEN BESONDERS NORDWEST MEHR WIND TEMPERATUR BISSCHEN STEIGEN WARM
404,SAMSTAG REGEN-PLUSPLUS REGEN BERG SCHNEE TEIL SCHNEE SCHNEIEN BESONDERS NICHT-HABEN KUESTE,SAMSTAG REGEN BERG REGEN TEILWEISE UMWANDELN SCHNEE SCHNEIEN SCHOEN WO MEER REGION
405,MORGEN DESWEGEN loc-WEST SIEBZEHN BIS SIEBEN ZWANZIG,MORGEN WERT EIFEL ACHTZEHN BIS SECHS ZWANZIG LAND
406,BERG AUCH SCHNEE SONST REGION SONNE WOLKE NUR ORT-PLUSPLUS BISSCHEN REGEN,MEER AUCH SCHNEE REST REGION SONNE WOLKE NUR ORT BISSCHEN REGEN
407,JETZT MORGEN WETTER WIE-AUSSEHEN,JETZT WETTER MORGEN WETTER WIE-AUSSEHEN
408,OST LANG REGEN-PLUSPLUS REGEN TAG STARK TEMPERATUR,NORD OST SUEDOST MOEGLICH LANG REGEN UEBER UNGEFAEHR SECHSHUNDERT METER
409,FLUSS WIND DABEI TEMPERATUR GRAD BIS UNGEFAEHR DREIZEHN GRAD loc-REGION,IX AUCH WIND DABEI TEMPERATUR FUENF BIS UNGEFAEHR DREIZEHN GRAD REGION
410,SUED SCHWACH WIND WEHEN IX MAESSIG WEHEN,SUED SCHWACH WEHEN IX MAESSIG WEHEN
411,WOLKE MAL SONNE BESONDERS S FREITAG IX REGEN REGEN-PLUSPLUS REGEN,NORDWEST WOLKE MANCHMAL SONNE BISSCHEN IX S+H IX REGEN
412,SCHON BAYERN WEST KLAR MORGEN SIEBZEHN GRAD __PU__,TEILWEISE BAYERN WEST AUS FUENF ZWANZIG VIERZEHN BIS ACHTZEHN GRAD
413,HEUTE NACHT MINUS NORDRAUM EINS GRAD,HEUTE NACHT MINUS ZWEI NORD MITTE MINUS EINS ZWANZIG GRAD
414,TAG REGION BIS GRAD,ROSTOCK ACHT REGION LEIPZIG ACHTZEHN GRAD ZONE
415,NORD OST HEUTE NACHT TROCKEN AUCH KLAR DANN TEILWEISE loc-REGION REGEN SCHAUER TEILWEISE WOLKE,WETTER OST SUED HEUTE NACHT TROCKEN AUCH KLAR DANN TEIL REGION SCHAUER MORGEN MEISTENS WOLKE
416,SAMSTAG SUEDWESTRAUM MEISTENS TROCKEN SONNE SCHAUER REGEN GEWITTER,SAMSTAG SUEDWEST UEBERWIEGEND TROCKEN IX SONNE SCHAUER NORDWEST DANN GEWITTER
417,AUCH __PU__ WEST STURM WEHEN AUCH REGEN WENIG,AUCH DAZU WIND KOMMEN SONST SCHNEE WENIGER
418,MEHR cl-KOMMEN HERZ IX AUCH TEIL TEILWEISE BISSCHEN NEBEL,KOMMEN ALPEN IX UND TEIL WAHRSCHEINLICH BISSCHEN NEBEL
419,MORGEN MEHR WARM BIS NEUNZEHN GRAD KOENNEN,MORGEN MEHR WARM IX ALS HEUTE VIERZEHN BIS NEUNZEHN GRAD KOENNEN
420,TAG SCHOEN LUFT KUESTE BISSCHEN WOLKE MOEGLICH ODER REGEN NICHT-HABEN,TAG BESSER WARM STEIGEN KUESTE BISSCHEN WOLKE ABER NICHT-REGEN NICHT-HABEN
421,loc-NORDOST MORGEN IX WIE-AUSSEHEN SAMSTAG SCHNEE SCHNEIEN BESONDERS NORDRAUM MAL SONNE,NORDOST MINUS EINS WIE-AUSSEHEN IN-KOMMEND SAMSTAG SCHNEE SCHNEIEN BESONDERS NORD WAHRSCHEINLICH SONNE
422,WENN HIMMEL KLAR DANN KALT FROST,WENN HIMMEL KLAR DOCH MEISTENS KALT FROST
423,NORDRAUM REGEN cl-KOMMEN,NORDWEST REGEN KOMMEN
424,FREITAG WECHSELHAFT REGEN OST loc-SUEDOST SCHAUER REGEN KOENNEN BESONDERS loc-NORDWEST WIND STARK,FREITAG AUCH WAHRSCHEINLICH REGEN SUEDOST SCHNEE KOENNEN BESONDERS NORDWEST WIND STARK
425,NORD MITTE OST SUED SCHNEE KOENNEN DANN SONNE WECHSELHAFT loc-SUEDWEST MEISTENS SONNE,TAG BESONDERS NORDOST ALPEN SCHAUER KOENNEN DANN SONNE WOLKE WECHSELHAFT SUEDWEST HAUPTSAECHLICH SONNE
426,HIER HEUTE NACHT FROST VORSICHT FLUSS MOEGLICH PLUS ZEHN,MOEGLICH HEUTE NACHT FROST GLATT VORSICHT FLUSS MOEGLICH PLUS ACHT
427,SUEDWESTRAUM DEUTSCH LAND BISSCHEN TROCKEN cl-KOMMEN IX MOEGLICH SCHAUER REGEN GEWITTER WAHRSCHEINLICH,SUEDWEST DEUTSCH LAND BISSCHEN FEUCHT KOMMEN IX MOEGLICH SCHAUER GEWITTER WAHRSCHEINLICH
428,loc-NORD MEISTENS SONNE BESONDERS NORD KOENNEN,REGION NICHT-KAUM SONNE BESONDERS NORD REGEN KOENNEN
429,MITTWOCH SUED BISSCHEN REGEN SCHAUER SONST REGION FREUNDLICH,MITTWOCH SUED NORD BISSCHEN REGEN SONST REGION FREUNDLICH
430,KLAR KOENNEN NEBEL NORDRAUM MORGEN NEBEL TIEF REGEN IM-VERLAUF VERSCHWINDEN,WENN KLAR MOEGLICH NEBEL NORD MORGEN UEBERWIEGEND WOLKE TROPFEN SPAETER VERSCHWINDEN
431,MITTWOCH WIND KOENNEN STURM REGEN DONNERSTAG TEMPERATUR WENIGER BERG KOENNEN SCHNEE,MITTWOCH WIND KOENNEN STURM REGEN DONNERSTAG TEMPERATUR VERRINGERN BERG WIEDER SCHNEE
432,WOCHENENDE DANN HOCH KOMMEN STROEMEN MITTE NORD HEUTE NACHT REGEN IX SKANDINAVIEN,WOCHE DANN HOCH KOMMEN WARM MITTE NORD HEUTE NACHT BISSCHEN REGEN IX TAG
433,IX AUCH BLITZ GEWITTER WETTER ABER BLEIBEN BESSER,IM-MOMENT DOCH GEWITTER DEUTSCH WETTER DIENST WARNUNG SCHON FERTIG BEKANNTGEBEN
434,HOCH KOMMEN OST MORGEN FREUNDLICH,HOCH KOMMEN OST KOMMEN ES-BEDEUTET MORGEN FREUNDLICH WETTER
435,GEWITTER KALT loc-SUEDWEST NACHT,GEWITTER ENORM SUEDWEST BIS-MORGEN NACHT KOMMEN
436,SUED MORGEN REGEN-PLUSPLUS TEIL GEFRIEREN,IX MORGEN LANG REGEN TEIL GEFRIEREN
437,TIEF cl-KOMMEN MITTE REGEN HOCH REGEN cl-KOMMEN,WENN TIEF KOMMEN DAZU REGEN GROSSBRITANNIEN KOMMEN
438,MILD ZWEI GRAD VIERZEHN BIS SECHS,SCHWARZ WALD FUENF ZWANZIG C+M HARZ BIS SECHZIG C+M
439,loc-OST loc-SUEDOST IX SONNE loc-NORDWEST HAUPTSAECHLICH WOLKE IX SCHAUER REGEN SUEDRAUM AUCH REGEN,REGION SUEDOST SONNE NORDWEST UEBERWIEGEND WOLKE IX REGEN SUEDOST AUCH SCHAUER
440,NACHT KOMMEN TAG loc-NORD REGEN EINS ZWANZIG FLUSS,NACHT VIERZEHN NORD SECHS ALLGAEU TAG VIERZEHN NORD REGEN EINS ZWANZIG FLUSS
441,TROCKEN MEHR KUESTE IX NUR NIEDER BIS ELF BIS ZWEI GRAD,ABER MILD MEHR MEER IX ODER SUEDWEST MINUS EIN MINUS ZWEI GRAD UNGEFAEHR MEHR
442,BERG IX HOCH SCHWER TEIL MILD,MEER WENN STEIGEN SCHWER STURM TEIL
443,HEUTE NACHT NORDRAUM REGEN __EMOTION__ SCHNEE REGEN WIND WEHEN,ABEND DANN NORD SCHNEE FLACH SCHNEE MAXIMAL WIND WEHEN
444,MEISTENS IX REGION SCHAUER REGEN GEWITTER RUHIG MEHR MILD ABER BISSCHEN SONNE,MEISTENS IX REGION SCHAUER IX SUED DANN RUHIG MEHR TROCKEN AUCH BISSCHEN SONNE
445,MORGEN IM-VERLAUF loc-REGION SO MOEGLICH SCHNEE ODER REGEN NOCH,MORGEN TAG IM-VERLAUF SUEDWEST REGION BLEIBEN SO MOEGLICH SCHNEE ODER REGEN ODER
446,IM-VERLAUF FREITAG __PU__ AUCH MEISTENS SONNE,MITTWOCH IM-VERLAUF VERSCHWINDEN FREITAG TAG WIEDER MEISTENS SONNE
447,SONNTAG DANN WOLKE TEIL FREUNDLICH TROCKEN MINUS FUENF GRAD MAXIMAL ZWANZIG GRAD,SONNTAG IX WOLKE TEIL FREUNDLICH TROCKEN MINUS FUENF ZWISCHEN MAXIMAL ZWEI GRAD
448,LUFT NORD FRUEHLING MORGEN SONNE __PU__,LUFT DRUCK HOCH DESHALB MORGEN SONNE UEBERALL
449,DANN NACHT MOEGLICH BISSCHEN SCHAUER GEWITTER,DANN ABEND KOENNEN BISSCHEN REGEN GEWITTER BERG IX
450,HEUTE NACHT __LEFTHAND__ ZWISCHEN MINUS FUENF DANN __LEFTHAND__ FUENF GRAD PLUS FUENF __LEFTHAND__ WEST GRAD,HEUTE NACHT NULL ZWISCHEN MINUS FUENF MORGEN ZONE VIER GRAD PLUS VIER UND FLUSS EINS GRAD
451,HEUTE NACHT MORGEN NORDRAUM BAYERN BERG SCHWER STURM,HEUTE NACHT AB MORGEN NACHMITTAG NORD HARZ REGION STURM
452,ZEHN GRAD MINUS SIEBEN NORDRAUM,NEUN GRAD REGION MINUS ACHT NORDOST
453,MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWOELF MAI,MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWOELF MAI
454,REGION WEHEN SUED FRISCH STURM BISSCHEN STURM,REGION WEHEN SUED VIEL FRISCH WIND BISSCHEN STURM
455,TAG DANN SUED loc-SUEDOST REGEN-PLUSPLUS NACH MITTAG IX GEWITTER,TAG DANN SUED SUEDOST REGEN NACH MITTAG IX AUCH GEWITTER
456,IN-KOMMEND MONTAG SONNE WARM WEITER,MONTAG SONNE WARM WEITER
457,HEUTE NACHT loc-NORD loc-ALPEN TAG DREIZEHN OST,HEUTE NACHT DREIZEHN NORD VIER BERG AM-TAG DREIZEHN OST
